alias	categories
2447.dat	Obsolete
24482.dat	Bar
24496.dat	Minifig Headwear
24496p01.dat	Minifig Headwear
24496p06.dat	Minifig Headwear
245021.dat	Obsolete
24504.dat	Minifig Neckwear
2453bdx0.dat	Sticker Shortcut
2454.dat	Obsolete
2454adf0.dat	Sticker Shortcut
2454adf1.dat	Sticker Shortcut
2454adf2.dat	Sticker Shortcut
2454adf3.dat	Sticker Shortcut
2454adf4.dat	Sticker Shortcut
2454adf5.dat	Sticker Shortcut
2454adf6.dat	Sticker Shortcut
2454adf7.dat	Sticker Shortcut
2454adf8.dat	Sticker Shortcut
2454adf9.dat	Sticker Shortcut
2454adfa.dat	Sticker Shortcut
2454adm0.dat	Sticker Shortcut
2454adq0.dat	Sticker Shortcut
2454adq1.dat	Sticker Shortcut
2454adq2.dat	Sticker Shortcut
2454adq3.dat	Sticker Shortcut
2454adq4.dat	Sticker Shortcut
2454adq5.dat	Sticker Shortcut
2454adq6.dat	Sticker Shortcut
2454adq7.dat	Sticker Shortcut
2454adq8.dat	Sticker Shortcut
2454bd01.dat	Sticker Shortcut
2454bd02.dat	Sticker Shortcut
2454bd03.dat	Sticker Shortcut
2454bd04.dat	Sticker Shortcut
2456dq0.dat	Sticker Shortcut
24607d01.dat	Sticker Shortcut
2462d01.dat	Sticker Shortcut
24634.dat	Minifig Accessory
24634p01.dat	Minifig Accessory
24635.dat	Minifig Headwear
24635p01.dat	Minifig Headwear
24636.dat	Minifig Headwear
2465d01.dat	Sticker Shortcut
2465dm0.dat	Sticker Shortcut
2475.dat	Vehicle
24779.dat	Minifig Hipwear
24779pk0.dat	Minifig Hipwear
24782.dat	Minifig Hipwear
24782p01.dat	Minifig Hipwear
2483d01.dat	Sticker Shortcut
24869.dat	Wheel
2488.dat	Minifig Accessory
2488c01.dat	Minifig Accessory
2489.dat	Container
24947.dat	Sphere
2494d01.dat	Sticker Shortcut
2494d02.dat	Sticker Shortcut
2495.dat	Minifig Accessory
2495c01.dat	Minifig Accessory
250.dat	Arch
25111.dat	Minifig Accessory
2513d01.dat	Sticker Shortcut
2514.dat	Minifig Headwear
2516.dat	Minifig Accessory
2524.dat	Minifig Neckwear
2526.dat	Minifig Neckwear
25264.dat	Minifig Headwear
2527.dat	Minifig Accessory
2527c01.dat	Minifig Accessory
2528.dat	Obsolete
2528a.dat	Minifig Headwear
2528ap30.dat	Minifig Headwear
2528ap31.dat	Minifig Headwear
